Gender,Marital Status,Number of Dependents,Occupation,Income,Education Level,Customer Tenure,Customer Segment,Preferred Communication Channel,Credit Score,Credit History Length,Outstanding Loans,Churn Flag,Churn Reason,Churn Date,Balance,NumOfProducts,NumComplaints,Age
1,Divorced,3,Information systems manager,77710.14,High School,30,Retail,Phone,397.0,24,41959.74,0,Not Churned,,211359.05,1.0,0.0,38.0
0,Married,1,Charity fundraiser,58209.87,High School,27,SME,Email,665.0,10,8916.67,0,Not Churned,,30624.76,4.0,1.0,25.0
0,Single,1,Television production assistant,9794.01,High School,14,Retail,Email,715.0,21,43270.54,0,Not Churned,,111956.61,2.0,6.0,71.0
0,Divorced,5,Agricultural engineer,15088.98,High School,23,Corporate,Phone,747.0,17,17887.65,0,Not Churned,,201187.61,1.0,0.0,34.0
0,Divorced,2,"Teacher, early years/pre",60726.56,Master's,22,Corporate,Email,549.0,25,32686.84,0,Not Churned,,60391.24,5.0,6.0,33.0
1,Single,0,"Surveyor, building",55608.75,Bachelor's,15,Retail,Email,809.0,27,37218.81,1,Account Closure,2024-07-31,31206.81,2.0,10.0,38.0
0,Single,1,Publishing copy,22032.61,Diploma,15,Retail,Email,690.0,29,26200.0,0,Not Churned,,198443.5,2.0,1.0,49.0
1,Divorced,4,Industrial buyer,73462.72,Diploma,3,Corporate,Email,605.0,30,25156.25,0,Not Churned,,96378.05,4.0,6.0,32.0
1,Divorced,3,Medical sales representative,30054.43,Bachelor's,20,Corporate,Phone,634.0,16,41854.08,0,Not Churned,,108395.17,5.0,1.0,24.0
0,Divorced,5,Media buyer,24129.53,Master's,21,SME,Phone,831.0,10,30914.02,0,Not Churned,,99830.84,4.0,5.0,34.0
1,Married,5,Sales executive,58523.79,Bachelor's,26,Corporate,Email,759.0,18,26021.64,0,Not Churned,,141823.51,5.0,5.0,51.0
1,Divorced,5,"Engineer, biomedical",17009.77,High School,22,Corporate,Phone,332.0,14,35937.1,0,Not Churned,,122931.63,5.0,9.0,31.0
0,Single,2,"Development worker, international aid",83160.48,Diploma,12,SME,Email,688.0,9,41808.44,0,Not Churned,,216944.39,2.0,8.0,75.0
0,Single,1,Health and safety adviser,35415.53,High School,22,SME,Email,750.0,12,35513.69,0,Not Churned,,31446.19,2.0,0.0,29.0
0,Married,4,"Scientist, research (maths)",44108.56,Diploma,22,SME,Email,609.0,28,46330.11,0,Not Churned,,126906.93,3.0,10.0,69.0
1,Single,2,Soil scientist,10051.24,Diploma,13,Corporate,Phone,678.0,3,15156.6,0,Not Churned,,143624.95,2.0,10.0,69.0
1,Divorced,2,Animal nutritionist,19725.99,Master's,23,Retail,Email,399.0,22,31765.09,1,Relocation,2024-04-30,18249.32,4.0,10.0,29.0
1,Married,1,Secondary school teacher,19632.81,Master's,8,Corporate,Email,744.0,17,7803.87,0,Not Churned,,72541.01,4.0,10.0,51.0
0,Married,1,Civil Service administrator,17002.05,Diploma,23,Retail,Email,516.0,30,37680.08,1,Account Closure,2024-05-05,47496.0,1.0,6.0,49.0
