Gender,Marital Status,Number of Dependents,Occupation,Income,Education Level,Customer Tenure,Customer Segment,Preferred Communication Channel,Credit Score,Credit History Length,Outstanding Loans,Churn Flag,Churn Reason,Balance,NumOfProducts,NumComplaints,Age,Days Since Churn,Debt-to-Income Ratio,Products per Tenure,Complaints per Product
1,0,3,318,77710.14,2,30,1,1,397.0,24,41959.74,0,2,211359.05,1.0,0.0,38.0,-1.0,0.5399449808611738,0.03225806451612903,0.0
0,1,1,84,58209.87,2,27,2,0,665.0,10,8916.67,0,2,30624.76,4.0,1.0,25.0,-1.0,0.15317877915241604,0.14285714285714285,0.2
0,2,1,597,9794.01,2,14,1,0,715.0,21,43270.54,0,2,111956.61,2.0,6.0,71.0,-1.0,4.4176105996829,0.13333333333333333,2.0
0,0,5,26,15088.98,2,23,0,1,747.0,17,17887.65,0,2,201187.61,1.0,0.0,34.0,-1.0,1.185399185419729,0.041666666666666664,0.0
0,0,2,585,60726.56,3,22,0,0,549.0,25,32686.84,0,2,60391.24,5.0,6.0,33.0,-1.0,0.5382538010748332,0.21739130434782608,1.0
1,2,0,567,55608.75,0,15,1,0,809.0,27,37218.81,1,0,31206.81,2.0,10.0,38.0,286.0,0.6692856918076416,0.125,3.3333333333333335
0,2,1,487,22032.61,1,15,1,0,690.0,29,26200.0,0,2,198443.5,2.0,1.0,49.0,-1.0,1.1890924818947053,0.125,0.3333333333333333
1,0,4,315,73462.72,1,3,0,0,605.0,30,25156.25,0,2,96378.05,4.0,6.0,32.0,-1.0,0.34243093053278545,1.0,1.2
1,0,3,373,30054.43,0,20,0,1,634.0,16,41854.08,0,2,108395.17,5.0,1.0,24.0,-1.0,1.3925630077493485,0.23809523809523808,0.16666666666666666
0,0,5,368,24129.53,3,21,2,1,831.0,10,30914.02,0,2,99830.84,4.0,5.0,34.0,-1.0,1.2811164943331126,0.18181818181818182,1.0
1,1,5,521,58523.79,0,26,0,0,759.0,18,26021.64,0,2,141823.51,5.0,5.0,51.0,-1.0,0.4446259439803201,0.18518518518518517,0.8333333333333334
1,0,5,198,17009.77,2,22,0,1,332.0,14,35937.1,0,2,122931.63,5.0,9.0,31.0,-1.0,2.112608659102439,0.21739130434782608,1.5
0,2,2,168,83160.48,1,12,2,0,688.0,9,41808.44,0,2,216944.39,2.0,8.0,75.0,-1.0,0.5027380465090329,0.15384615384615385,2.6666666666666665
0,2,1,282,35415.53,2,22,2,0,750.0,12,35513.69,0,2,31446.19,2.0,0.0,29.0,-1.0,1.002743351762581,0.08695652173913043,0.0
0,1,4,534,44108.56,1,22,2,0,609.0,28,46330.11,0,2,126906.93,3.0,10.0,69.0,-1.0,1.0503416946349047,0.13043478260869565,2.5
1,2,2,550,10051.24,1,13,0,1,678.0,3,15156.6,0,2,143624.95,2.0,10.0,69.0,-1.0,1.507783339832714,0.14285714285714285,3.3333333333333335
1,0,2,35,19725.99,3,23,1,0,399.0,22,31765.09,1,3,18249.32,4.0,10.0,29.0,378.0,1.6102350130455785,0.16666666666666666,2.0
1,1,1,538,19632.81,3,8,0,0,744.0,17,7803.87,0,2,72541.01,4.0,10.0,51.0,-1.0,0.3974709951863647,0.4444444444444444,2.0
0,1,1,104,17002.05,1,23,1,0,516.0,30,37680.08,1,0,47496.0,1.0,6.0,49.0,373.0,2.2160777037061,0.041666666666666664,3.0
0,2,0,219,69930.91,2,14,1,0,790.0,8,29280.66,0,2,60845.11,1.0,6.0,43.0,-1.0,0.4187024206832045,0.06666666666666667,3.0
1,1,1,198,65032.92,3,26,0,0,414.0,12,2381.23,0,2,141183.72,2.0,3.0,62.0,-1.0,0.036615200190915756,0.07407407407407407,1.0
1,2,0,203,39981.11,0,25,1,1,437.0,2,6761.18,1,0,75231.59,2.0,9.0,35.0,334.0,0.16910513227040794,0.07692307692307693,3.0
1,2,0,480,91831.65,3,18,2,1,394.0,27,6976.75,0,2,235451.48,5.0,1.0,65.0,-1.0,0.07597243464062074,0.2631578947368421,0.16666666666666666
0,0,0,130,78471.18,3,24,0,0,393.0,21,5417.06,0,2,83954.38,3.0,1.0,21.0,-1.0,0.06903159820461215,0.12,0.25
1,1,0,458,92292.74,2,16,1,1,520.0,29,36332.9,0,2,169581.13,3.0,0.0,41.0,-1.0,0.3936659192703644,0.17647058823529413,0.0
1,1,4,68,52775.33,2,16,1,1,515.0,26,5663.8,0,2,233471.12,4.0,8.0,60.0,-1.0,0.10731704913926375,0.23529411764705882,1.6
1,1,1,423,14710.59,2,13,2,1,559.0,28,39797.76,0,2,114903.09,2.0,0.0,62.0,-1.0,2.705197738653674,0.14285714285714285,0.0
1,0,1,321,46317.6,2,26,1,0,387.0,22,12373.92,0,2,224404.73,4.0,0.0,76.0,-1.0,0.2671479707935905,0.14814814814814814,0.0
0,2,4,443,40613.05,0,28,1,1,309.0,29,16896.93,0,2,88966.86,4.0,0.0,46.0,-1.0,0.4160365686258819,0.13793103448275862,0.0
1,0,2,143,57344.57,2,8,2,1,829.0,5,37993.92,0,2,40478.17,4.0,6.0,55.0,-1.0,0.6625432444040577,0.4444444444444444,1.2
1,0,4,319,71236.42,2,24,2,1,683.0,15,23390.07,0,2,248242.41,5.0,4.0,48.0,-1.0,0.328339656321074,0.2,0.6666666666666666
0,0,1,602,88336.88,2,3,2,1,617.0,11,42389.15,0,2,87306.22,4.0,4.0,72.0,-1.0,0.4798524709897951,1.0,0.8
0,1,1,507,64467.74,0,7,2,0,303.0,14,22006.17,0,2,160303.04,3.0,5.0,60.0,-1.0,0.3413463641448553,0.375,1.25
0,1,3,386,53756.54,2,9,0,0,668.0,8,36169.98,0,2,87776.33,4.0,7.0,33.0,-1.0,0.6728354757304743,0.4,1.4
0,1,3,162,80229.05,1,12,1,1,800.0,15,46050.22,0,2,177098.69,3.0,9.0,54.0,-1.0,0.573977206794711,0.23076923076923078,2.25
1,2,2,517,98732.96,2,26,1,1,682.0,22,29249.65,0,2,196614.71,5.0,2.0,50.0,-1.0,0.29624710687184025,0.18518518518518517,0.3333333333333333
1,2,5,442,50627.29,0,8,0,1,459.0,6,6271.79,1,0,40373.67,3.0,10.0,29.0,433.0,0.1238791592605636,0.3333333333333333,2.5
0,0,2,435,83123.02,3,25,2,1,795.0,24,25245.19,0,2,76710.95,1.0,3.0,64.0,-1.0,0.30370511435803993,0.038461538461538464,1.5
0,0,0,146,21518.49,3,23,2,1,364.0,2,5232.36,0,2,127097.74,1.0,4.0,68.0,-1.0,0.24314516747376444,0.041666666666666664,2.0
1,2,0,143,87512.21,0,26,2,0,829.0,7,31164.72,0,2,27852.11,5.0,7.0,43.0,-1.0,0.35611446546184283,0.18518518518518517,1.1666666666666667
1,0,5,303,85636.57,2,16,2,1,415.0,29,48322.31,0,2,63093.16,1.0,2.0,19.0,-1.0,0.5642653101903755,0.058823529411764705,1.0
1,2,3,45,23790.18,1,28,0,0,447.0,11,40597.98,0,2,64127.57,5.0,1.0,60.0,-1.0,1.706429861822743,0.1724137931034483,0.16666666666666666
1,2,0,446,98489.19,0,27,2,1,592.0,27,28528.36,0,2,225678.58,3.0,2.0,24.0,-1.0,0.2896568683642503,0.10714285714285714,0.5
1,2,3,234,64933.28,0,30,0,0,408.0,18,33691.3,0,2,57845.5,3.0,3.0,58.0,-1.0,0.5188522918865044,0.0967741935483871,0.75
1,1,3,445,72063.83,1,21,2,0,453.0,14,36268.21,0,2,97674.07,5.0,9.0,54.0,-1.0,0.5032719844062631,0.22727272727272727,1.5
1,0,2,511,23819.57,1,27,0,0,850.0,12,13055.58,0,2,42643.8,3.0,7.0,47.0,-1.0,0.5480800837259562,0.10714285714285714,1.75
1,1,4,434,43893.01,3,16,2,0,343.0,23,10827.3,0,2,193263.84,5.0,10.0,73.0,-1.0,0.2466691924478989,0.29411764705882354,1.6666666666666667
1,2,1,587,50043.77,1,19,1,1,644.0,26,25673.56,0,2,134404.42,2.0,10.0,69.0,-1.0,0.5130118491902351,0.1,3.3333333333333335
0,2,3,481,60947.5,1,30,2,1,356.0,5,18190.69,0,2,118613.65,5.0,10.0,66.0,-1.0,0.29846001132103334,0.16129032258064516,1.6666666666666667
0,2,0,634,11078.92,0,5,0,1,709.0,5,17685.73,0,2,157076.39,2.0,2.0,42.0,-1.0,1.596196542935328,0.3333333333333333,0.6666666666666666
1,2,4,570,51228.37,2,23,1,1,685.0,7,33052.23,0,2,159548.17,2.0,2.0,49.0,-1.0,0.6451812700409941,0.08333333333333333,0.6666666666666666
1,2,2,219,98913.01,3,6,0,0,636.0,1,24591.59,0,2,230194.29,2.0,9.0,53.0,-1.0,0.24861584319551902,0.2857142857142857,3.0
0,2,2,112,24826.95,2,9,1,0,392.0,9,38011.57,0,2,198522.51,4.0,3.0,27.0,-1.0,1.5309991360543258,0.4,0.6
0,0,4,8,6844.88,0,1,0,0,500.0,16,47417.41,0,2,161596.55,2.0,3.0,26.0,-1.0,6.926415595949681,1.0,1.0
1,1,2,293,67006.08,3,11,1,1,787.0,23,19861.37,0,2,214137.16,2.0,3.0,28.0,-1.0,0.29640703639078136,0.16666666666666666,1.0
0,1,2,89,62967.38,1,17,0,0,511.0,8,10463.7,0,2,219450.98,4.0,5.0,75.0,-1.0,0.16617387965197772,0.2222222222222222,1.0
1,1,3,469,32585.52,1,27,1,0,442.0,18,35822.99,0,2,244547.67,3.0,6.0,29.0,-1.0,1.0993192890802699,0.10714285714285714,1.5
0,1,5,110,93508.64,3,3,1,1,643.0,14,41410.39,0,2,207931.99,3.0,9.0,50.0,-1.0,0.44284621350269343,0.75,2.25
1,1,2,634,33991.6,0,3,2,1,706.0,2,35456.8,0,2,77848.65,1.0,6.0,57.0,-1.0,1.043074080829357,0.25,3.0
0,2,5,312,68182.86,3,4,0,0,396.0,23,10679.66,0,2,98389.11,2.0,2.0,64.0,-1.0,0.15663032277726724,0.4,0.6666666666666666
1,2,0,271,87620.03,1,14,1,1,415.0,24,16664.95,0,2,93506.03,2.0,7.0,57.0,-1.0,0.19019349578520134,0.13333333333333333,2.3333333333333335
1,1,0,316,96731.47,1,12,0,0,640.0,26,9108.58,0,2,146915.38,4.0,1.0,58.0,-1.0,0.09416259090665213,0.3076923076923077,0.2
1,0,5,150,46217.84,3,18,2,1,677.0,21,24232.24,0,2,111727.37,4.0,9.0,72.0,-1.0,0.524293556480431,0.21052631578947367,1.8
1,2,4,613,56198.29,3,4,2,0,781.0,18,36177.11,0,2,29208.44,1.0,2.0,70.0,-1.0,0.6437289510241143,0.2,1.0
1,0,5,273,13629.01,0,17,1,1,511.0,3,43880.33,0,2,216145.15,2.0,6.0,48.0,-1.0,3.219390888194506,0.1111111111111111,2.0
1,0,2,122,6980.2,1,16,2,0,676.0,18,8582.83,1,1,19069.93,3.0,6.0,59.0,436.0,1.2294204434767662,0.17647058823529413,1.5
1,2,0,139,71167.86,0,8,0,1,782.0,28,24455.56,0,2,209091.81,2.0,1.0,30.0,-1.0,0.34362725495392227,0.2222222222222222,0.3333333333333333
0,2,2,11,59860.8,1,29,0,1,416.0,23,35217.63,0,2,218258.79,1.0,2.0,24.0,-1.0,0.5883155869018305,0.03333333333333333,1.0
1,1,4,492,60620.29,0,22,0,1,540.0,11,39423.62,0,2,69652.22,1.0,0.0,36.0,-1.0,0.6503263127525,0.043478260869565216,0.0
0,1,2,171,45156.44,0,6,1,0,697.0,29,43135.05,0,2,63074.82,4.0,4.0,47.0,-1.0,0.9552146888751887,0.5714285714285714,0.8
1,0,5,459,41465.71,2,26,2,1,386.0,28,28777.01,0,2,197996.42,5.0,4.0,77.0,-1.0,0.6939786156172023,0.18518518518518517,0.6666666666666666
0,1,5,332,59838.39,0,12,1,1,487.0,30,11961.3,0,2,229508.73,1.0,5.0,25.0,-1.0,0.19989007240882636,0.07692307692307693,2.5
0,0,4,335,34801.19,3,16,1,1,580.0,20,24618.35,0,2,145264.44,2.0,10.0,20.0,-1.0,0.7073793344614232,0.11764705882352941,3.3333333333333335
1,1,4,623,27225.52,3,16,1,1,835.0,17,32476.69,0,2,36615.38,4.0,5.0,50.0,-1.0,1.1928329437621847,0.23529411764705882,1.0
0,1,5,519,20835.17,0,16,1,0,301.0,20,30105.04,0,2,211665.51,3.0,4.0,24.0,-1.0,1.4448451898789463,0.17647058823529413,1.0
1,2,3,70,44763.36,0,17,1,1,348.0,9,27342.03,0,2,170810.39,3.0,3.0,27.0,-1.0,0.610799082126942,0.16666666666666666,0.75
1,0,5,185,70561.15,2,7,1,1,375.0,16,26890.87,0,2,38679.73,5.0,3.0,75.0,-1.0,0.38109482208237705,0.625,0.5
0,1,3,131,77167.53,1,27,0,1,492.0,4,6374.91,1,4,38534.11,2.0,7.0,43.0,395.0,0.08261022984369405,0.07142857142857142,2.3333333333333335
1,1,3,45,98799.99,0,12,0,1,749.0,5,39582.33,0,2,120899.74,4.0,8.0,60.0,-1.0,0.40062685606692805,0.3076923076923077,1.6
1,0,0,406,97676.94,0,29,1,0,413.0,25,18595.31,0,2,190897.86,2.0,5.0,65.0,-1.0,0.19037369133706136,0.06666666666666667,1.6666666666666667
0,0,3,190,74653.9,3,22,0,1,569.0,18,15246.23,1,4,27198.22,2.0,4.0,62.0,418.0,0.20422276367659725,0.08695652173913043,1.3333333333333333
1,0,3,363,14421.9,2,10,0,0,418.0,14,16509.16,0,2,97748.25,5.0,6.0,28.0,-1.0,1.1446491343627148,0.45454545454545453,1.0
0,2,3,2,15656.28,1,30,1,0,821.0,13,24643.54,0,2,139133.15,4.0,10.0,67.0,-1.0,1.573934936336324,0.12903225806451613,2.0
0,2,3,188,41742.82,1,2,1,0,820.0,25,49898.88,0,2,131401.01,2.0,7.0,33.0,-1.0,1.1953596963574489,0.6666666666666666,2.3333333333333335
1,2,4,499,60284.63,2,24,0,0,455.0,12,49588.26,0,2,172665.82,2.0,0.0,30.0,-1.0,0.8225552258473537,0.08,0.0
1,1,5,624,67655.14,2,11,2,1,613.0,10,42786.62,0,2,129482.27,4.0,5.0,63.0,-1.0,0.6324129635536405,0.3333333333333333,1.0
0,2,3,102,86311.86,0,3,1,1,826.0,30,19854.15,0,2,219409.95,3.0,1.0,52.0,-1.0,0.23002539830101795,0.75,0.25
0,1,1,261,62636.33,2,23,0,1,354.0,2,49043.3,0,2,199080.2,5.0,6.0,72.0,-1.0,0.7829723904259649,0.20833333333333334,1.0
1,1,4,156,90238.37,0,2,2,0,402.0,9,38157.39,1,4,42188.3,2.0,10.0,45.0,347.0,0.42284636960563887,0.6666666666666666,3.3333333333333335
0,0,1,272,40396.27,1,10,1,0,365.0,12,34181.72,0,2,241474.6,5.0,10.0,71.0,-1.0,0.8461393554564456,0.45454545454545453,1.6666666666666667
0,0,3,38,74029.89,3,4,2,1,570.0,22,46593.21,0,2,122629.01,4.0,10.0,72.0,-1.0,0.6293752513308971,0.8,2.0
1,0,0,154,23085.0,0,22,2,0,779.0,19,35914.5,0,2,248563.04,3.0,9.0,20.0,-1.0,1.5556830979814606,0.13043478260869565,2.25
